Gene	WT-1_Read_Count	WT-2_Read_Count	Toluene-1_Read_Count	Toluene-2_Read_Count
A	6889	8631	5468	8759
A4	3	0	1	1
A6	0	0	13	16
AACT	1700	2003	2963	3245
AAE16	0	0	0	0
AAG13	8	0	0	0
AAMP	8	0	0	0
AAO	689	860	503	860
AAP4-3	113	153	158	271
AAT	586	729	272	581
ABAT	99	152	90	115
ABC2	0	0	3	1
ABCA5	5	0	0	0
ABCA7	3	0	0	0
ABCB4	236	304	213	248
ABCC1	5	3	3	4
ABCC3	21	0	0	0
ABCC5	1	0	0	0
ABCD4	4	0	0	0
ABCF1	5	0	0	0
ABCF2	6	0	0	0
ABCF3	7	0	0	0
ABCG2	3	0	0	0
ABHD10	2	0	0	0
ABHD11	5	0	0	0
ABHD12	3	0	0	0
ABHD14A-ACY1	5	0	0	0
ABHD14B	28	0	0	0
ABHD17A	6	0	0	0
ABHD17C	7	0	0	0
ABLIM1	4	0	4	0
AC1	459	458	326	360
ACAA1	10	0	0	0
ACAA2	14	0	0	0
ACACA	3	0	0	0
ACACB	11	0	0	0
ACAD10	4	0	0	0
ACADS	19	0	0	0
ACADVL	35	0	0	0
ACAP3	2	0	0	0
ACAT1	5	0	0	0
ACAT2	2	0	0	1
ACBD5	0	0	0	4
ACC	32	37	5	17
ACC1	3	4	1	1
ACE	3	0	0	0
ACE2	4	0	0	0
ACHE	2	0	0	0
ACIN1	3	0	0	0
ACO1	4066	5074	5033	5495
ACO2	47	0	0	1
ACOT11	6	0	0	0
ACOX1	0	0	0	0
ACP	815	903	938	948
ACP5	23	0	0	0
ACS1	2341	2784	2766	3448
ACSF2	11	0	0	0
ACSF3	3	0	0	0
ACSL5	22	0	0	0
ACSM3	2	0	0	0
ACSS1	10	0	0	0
ACT	476	682	443	563
ACTA1	8	2	1	2
ACTA2	64	4	10	18
ACTG1	283	10	2	1
ACTN4	74	1	0	2
ACTR1B	7	1	0	0
ACTR2	5	0	0	0
ACVRL1	13	0	4	0
ADAM15	14	0	0	0
ADAP1	11	0	0	0
ADAR	8	0	0	0
ADAT3	10	0	0	0
ADCY6	14	1	1	0
ADD1	9	0	0	0
ADD3	4	0	0	0
ADGRG1	7	1	0	0
ADH1C	37	0	0	0
ADH2	9647	11057	9232	11117
ADH3	4437	5538	5507	6747
ADI1	29	3	2	0
ADIPOR1	4	0	0	0
ADIPOR2	7	0	0	0
ADP-ribose	1198	1525	946	1446
ADRM1	24	2	0	0
AEBP1	10	0	0	0
AES	76	0	0	1
AFAP1	3	0	0	0
AFG3L2	13	0	0	1
AFMID	3	0	0	0
AFRR	9946	11592	10002	10782
AGAL1	462	648	566	707
AGAP3	1	0	0	0
AGBL5	9	0	0	0
AGER	14	0	0	0
AGFG2	6	0	0	0
