Gene	WT-1_FPKM	WT-2_FPKM	Toluene-1_FPKM	Toluene-2_FPKM
A	4.12	4.147	2.6215	4.7065
A4	0.51	0.0	0.165	0.16
A6	0.0	0.0	0.67	0.94
AACT	31.16	31.48	45.22	56.19
AAE16	0.0	0.0	0.0	0.0
AAG13	4.35	0.0	0.0	0.0
AAMP	5.93	0.0	0.0	0.0
AAO	3.71	3.96	2.25	4.37
AAP4-3	2.86	3.33	3.33	6.48
AAT	8.82	9.4	3.41	8.26
ABAT	1.39	1.83	1.05	1.53
ABC2	0.0	0.0	1.32	0.49
ABCA5	1.64	0.0	0.0	0.0
ABCA7	1.015	0.0	0.0	0.0
ABCB4	3.28	3.62	2.46	3.25
ABCC1	0.35	0.18	0.17	0.26
ABCC3	1.77	0.0	0.0	0.0
ABCC5	0.95	0.0	0.0	0.0
ABCD4	3.63	0.0	0.0	0.0
ABCF1	2.31	0.0	0.0	0.0
ABCF2	4.2	0.0	0.0	0.0
ABCF3	2.76	0.0	0.0	0.0
ABCG2	2.36	0.0	0.0	0.0
ABHD10	1.74	0.0	0.0	0.0
ABHD11	1.03	0.0	0.0	0.0
ABHD12	1.49	0.0	0.0	0.0
ABHD14A-ACY1	2.31	0.0	0.0	0.0
ABHD14B	2.25	0.0	0.0	0.0
ABHD17A	1.04	0.0	0.0	0.0
ABHD17C	2.73	0.0	0.0	0.0
ABLIM1	1.28	0.0	1.07	0.0
AC1	13.78	11.83	8.15	10.21
ACAA1	2.47	0.0	0.0	0.0
ACAA2	1.94	0.0	0.0	0.0
ACACA	1.83	0.0	0.0	0.0
ACACB	4.075	0.0	0.0	0.0
ACAD10	1.93	0.0	0.0	0.0
ACADS	1.9249999999999998	0.0	0.0	0.0
ACADVL	1.1	0.0	0.0	0.0
ACAP3	0.99	0.0	0.0	0.0
ACAT1	0.89	0.0	0.0	0.0
ACAT2	0.51	0.0	0.0	0.24
ACBD5	0.0	0.0	0.0	1.39
ACC	2.97	3.0	0.39	1.49
ACC1	0.5	0.59	0.14	0.16
ACE	1.09	0.0	0.0	0.0
ACE2	2.08	0.0	0.0	0.0
ACHE	1.98	0.0	0.0	0.0
ACIN1	0.88	0.0	0.0	0.0
ACO1	88.61	94.89	91.32	113.11
ACO2	2.7800000000000002	0.0	0.0	0.295
ACOT11	3.42	0.0	0.0	0.0
ACOX1	0.0	0.0	0.0	0.0
ACP	24.44	23.29	23.42	26.86
ACP5	2.325	0.0	0.0	0.0
ACS1	34.26	34.9	33.71	47.67
ACSF2	1.32	0.0	0.0	0.0
ACSF3	2.36	0.0	0.0	0.0
ACSL5	3.89	0.0	0.0	0.0
ACSM3	1.54	0.0	0.0	0.0
ACSS1	1.75	0.0	0.0	0.0
ACT	7.94	9.75	6.15	8.87
ACTA1	0.16666666666666666	0.25333333333333335	0.016666666666666666	0.04
ACTA2	0.7	0.04	0.09	0.185
ACTG1	13.58	0.41	0.08	0.05
ACTN4	2.6266666666666665	0.02666666666666667	0.0	0.07333333333333333
ACTR1B	0.53	0.07	0.0	0.0
ACTR2	0.71	0.0	0.0	0.0
ACVRL1	1.08	0.0	0.28	0.0
ADAM15	3.0949999999999998	0.0	0.0	0.0
ADAP1	1.72	0.0	0.0	0.0
ADAR	2.36	0.0	0.0	0.0
ADAT3	1.85	0.0	0.0	0.0
ADCY6	1.49	0.09	0.09	0.0
ADD1	1.31	0.0	0.0	0.0
ADD3	1.0	0.0	0.0	0.0
ADGRG1	2.09	0.27	0.0	0.0
ADH1C	2.14	0.0	0.0	0.0
ADH2	74.15	72.86	61.045	83.165
ADH3	105.92	113.51	109.45	152.14
ADI1	1.525	0.05	0.035	0.0
ADIPOR1	1.37	0.0	0.0	0.0
ADIPOR2	3.24	0.0	0.0	0.0
ADP-ribose	5.8725000000000005	4.4475	2.6825	4.6525
ADRM1	2.39	0.17	0.0	0.0
AEBP1	1.28	0.0	0.0	0.0
AES	3.75	0.0	0.0	0.05
AFAP1	1.51	0.0	0.0	0.0
AFG3L2	0.78	0.0	0.0	0.06
AFMID	2.36	0.0	0.0	0.0
AFRR	157.82	157.59	132.14	161.6
AGAL1	8.61	10.35	8.78	12.44
AGAP3	0.58	0.0	0.0	0.0
AGBL5	3.05	0.0	0.0	0.0
AGER	3.37	0.0	0.0	0.0
AGFG2	1.48	0.0	0.0	0.0
AGL6	2.65	2.52	1.74	2.61
AGPAT2	0.88	0.0	0.0	0.0
AGPS	2.02	0.0	0.0	0.0
AGR2	1.825	0.0	0.0	0.185
AGRN	0.0	0.0	0.0	0.0
AGT	0.0	0.0	0.0	1.14
AHCY	3.37	0.0	0.0	0.0
AHCYL1	0.51	0.0	0.0	0.0
AHCYL2	0.89	0.0	0.0	0.0
AHNAK	4.67	0.0	0.0	0.0
AI182371	0.15	0.0	0.0	0.0
AIB	11.72	11.63	9.26	13.68
AIF1	1.31	0.0	0.0	0.0
AIFM2	0.98	0.0	0.0	0.0
AIFM3	2.02	0.0	0.0	0.0
AIMP2	0.8	0.0	0.0	0.0
AIP	1.33	0.0	0.0	0.0
AK1	2.2600000000000002	0.0	0.0	0.0
AK157302	2.72	0.0	0.0	0.0
AK6	1.7	0.0	0.0	0.0
AKAP1	3.08	0.0	0.0	0.0
AKAP8	1.89	0.0	0.0	0.0
AKAP8L	0.99	0.0	0.0	0.0
AKR1A1	1.9566666666666668	0.0	0.04666666666666667	0.21666666666666667
AKR1B1	1.16	0.0	0.0	0.0
AKR1C3	0.93	0.0	0.0	0.0
AKR7L	0.96	0.0	0.0	0.0
AKT1S1	2.63	0.0	0.0	0.0
AKT2	1.28	0.0	0.0	0.0
ALB	0.2	0.0	0.67	0.0
ALCAM	6.93	0.0	0.0	0.0
ALD	0.59	0.0	0.0	0.0
ALDH12A1	0.0	0.0	1.93	0.0
ALDH18B-2	1.3	0.0	2.72	1.22
ALDH1A1	0.63	0.0	0.0	0.0
ALDH2	3.27	0.0	0.0	0.47
ALDOA	0.98	0.88	0.27	1.23
ALDOC	0.74	0.0	0.12	0.0
ALG12	1.0	0.0	0.0	0.0
ALG13	0.84	0.0	0.0	0.0
ALG3	2.34	0.0	0.0	0.0
ALG8	2.14	0.0	0.0	0.0
ALKBH5	1.48	0.0	0.0	0.0
ALS2CL	1.74	0.0	0.0	0.0
ALYREF	0.84	0.0	0.0	0.0
AMN	1.355	0.0	0.0	0.0
AMPD2	1.0	0.0	0.0	0.0
AMY1	5.67	5.87	5.84	9.52
AMY3	18.74	20.11	13.35	22.55
AN2	8.52	9.21	6.83	11.23
ANAPC11	1.81	0.0	0.0	0.0
ANAPC15	1.91	0.0	0.0	0.0
ANAPC2	1.7	0.0	0.0	0.0
ANAPC5	7.41	0.0	0.0	0.0
ANK2	0.48	0.43	0.0	0.0
ANKHD1-EIF4EBP3	1.47	0.0	0.0	0.0
ANKRD13A	0.91	0.0	0.0	0.0
ANKRD13C	3.5	0.0	0.0	0.0
ANKRD13D	1.67	0.0	0.0	0.0
ANKRD9	1.46	0.0	0.0	0.0
ANKS6	0.31	0.0	0.0	0.0
ANO10	0.83	0.0	0.0	0.0
ANO7	1.33	0.0	0.0	0.0
ANO9	0.75	0.0	0.0	0.0
ANP32A	2.9299999999999997	0.0	0.0	0.0
ANP32B	1.08	0.0	0.0	0.0
ANPEP	0.9	0.0	0.0	0.0
ANXA2	1.35	0.0	0.0	0.0
ANXA6	0.57	0.0	0.24	0.0
AO	17.2	18.75	4.06	7.21
AO090003000270	0.0	0.0	0.0	0.5
AO090003000415	0.17	0.1	0.19	0.32
AOAH	2.05	0.0	0.0	0.0
AP1	0.2	0.04	0.08	0.18
AP1B1	1.6166666666666665	0.0	0.0	0.0
AP1G2	1.68	0.0	0.0	0.0
AP1S1	4.19	0.0	0.0	0.0
AP2A2	4.16	0.0	0.0	0.0
AP2M1	1.68	0.04	0.0	0.0
AP2S1	1.74	0.0	0.0	0.04
AP5B1	2.1	0.0	0.0	0.0
APCDD1	1.25	0.0	0.0	0.0
APEH	1.54	0.0	0.0	0.0
APEX1	1.23	0.0	0.0	0.0
APH1A	0.625	0.0	0.0	0.0
API5	1.44	0.0	0.34	0.0
APIP	0.99	0.0	0.0	0.0
APL1	93.43	98.59	37.74	63.48
APL2	2.77	3.07	3.89	5.61
APLP2	1.145	0.0	0.04	0.0
APOBR	2.47	0.08	0.0	0.0
APOC1	2.81	0.0	0.0	0.0
APOE	5.26	0.055	0.0	0.0
APOPT1	0.85	0.0	0.0	0.0
APP	4.9799999999999995	0.0	0.0	0.0
APS1	57.47	62.245	79.49000000000001	124.255
APX-2	39.66	38.36	24.48	37.62
APs	2.65	3.0	1.96	3.85
AQP	3.69	3.93	6.85	10.46
AQP1	1.99	0.89	0.0	0.0
AQP8	1.08	0.0	0.0	0.13
AQU1	26.49	25.33	22.29	40.8
ARA6	0.0	1.06	0.0	0.55
ARAF	1.16	0.0	0.0	0.0
ARAP1	2.63	0.0	0.0	0.0
AREG	1.26	0.0	0.0	0.0
ARF	40.1	39.67	39.3	50.455
ARF4	1.275	0.0	0.0	0.0
ARF5	0.0	0.0	0.0	0.0
ARFA1F2	39.13	42.69	34.61	50.08
ARFGAP1	2.435	0.0	0.0	0.0
ARFGAP2	0.76	0.0	0.0	0.0
ARFGAP3	1.21	0.0	0.0	0.0
ARFIP2	1.945	0.0	0.0	0.0
ARFRP1	1.48	0.0	0.0	0.0
