Gene	WT_mean	Toluene_mean	log2FC_Toluene_vs_WT
LOC109036408	0.0	58.315	25.797363715467213
Rpl41	0.0	14.97	23.835570981980275
LOC109029748	0.0	14.32	23.77152825756056
LOC109031658	0.0	11.565	23.463262054932287
LOC100119072	0.0	9.655000000000001	23.202844977924748
LOC106788646	0.0	8.379999999999999	22.998518985408104
LOC101209393	0.0	7.575	22.852814648364543
RpS27a	0.0	7.51	22.84038166916691
LOC105696880	0.0	6.835	22.704510118230115
LOC109044295	0.0	6.595000000000001	22.65294144755686
LOC106642073	0.0	6.5649999999999995	22.646363800197847
LOC100114558	0.0	6.205	22.56500001218503
LOC106654456	0.0	6.1	22.540378048507062
LOC109040477	0.0	6.045	22.527311147457784
LOC109044798	0.0	5.6875	22.439363463183515
LOC109037232	0.0	5.595	22.415706958380163
LOC100680414	0.0	5.29	22.33483656438463
LOC100883040	0.0	5.12	22.2877126613258
LOC110999688	0.0	4.8	22.194603275719402
LOC105678840	0.0	4.7299999999999995	22.173409057898336
LOC100117021	0.0	4.335	22.04760089557287
LOC107216567	0.0	4.325	22.044269035644607
LOC109031175	0.0	4.215	22.007101542767895
LOC103505979	0.0	4.13	21.977710700289684
LOC100123147	0.0	4.125	21.975963038426837
LOC105253567	0.0	3.925	21.904261590894006
LOC108767270	0.0	3.88	21.887625593565147
LOC105274915	0.0	3.875	21.8857652520194
LOC109043937	0.0	3.755	21.84038186127007
LOC109039183	0.0	3.5425000000000004	21.756336829720773
LOC109043647	0.0	3.5300000000000002	21.751237161516052
LOC105564632	0.0	3.475	21.7285819623243
LOC106653773	0.0	3.44	21.71397755363958
LOC109030216	0.0	3.375	21.686456498952776
LOC105690248	0.0	3.365	21.682175502895227
LOC100883213	0.0	3.355	21.677881765762994
LOC109034024	0.0	3.3049999999999997	21.656219277576
LOC106751109	0.0	3.3	21.654035030975514
LOC109033787	0.0	3.29	21.649656591793754
LOC107045725	0.0	3.2199999999999998	21.618629705705935
LOC105368686	0.0	3.13	21.577731687406928
LOC106637672	0.0	3.075	21.552155448945093
LOC109044620	0.0	2.8449999999999998	21.439997728954374
LOC109039934	0.0	2.785	21.409246414912744
LOC100372305	0.0	2.71	21.369861953263015
LOC109043694	0.0	2.6799999999999997	21.353802108326168
LOC109036091	0.0	2.525	21.267852528552865
LOC106653497	0.0	2.51	21.25925650827901
LOC106650699	0.0	2.43	21.212525476856772
LOC107272759	0.0	2.39	21.188579791168163
LOC109596368	0.0	2.365	21.173409362907762
LOC100883559	0.0	2.36	21.170356040222618
LOC109038492	0.0	2.31	21.13946204550868
LOC109038724	0.0	2.295	21.13006335158841
LOC105361663	0.0	2.295	21.13006335158841
LOC109033974	0.0	2.285	21.123763365983766
HSC70	0.0	2.2825	21.12218406160146
LOC107041329	0.0	2.2800000000000002	21.120603026475035
LOC109040757	0.0	2.2649999999999997	21.111080256546998
