TF	WT-1_FPKM	WT-2_FPKM	Toluene-1_FPKM	Toluene-2_FPKM
ABCF2	4.2	0.0	0.0	0.0
ACAA1	2.47	0.0	0.0	0.0
ACO1	88.61	94.89	91.32	113.11
AKR1A1	1.9566666666666668	0.0	0.04666666666666667	0.21666666666666667
APEX1	1.23	0.0	0.0	0.0
ARFGAP1	2.435	0.0	0.0	0.0
ASH2L	0.87	0.0	0.0	0.0
ATF4	1.2149999999999999	0.0	0.25	0.0
BAD	1.88	0.0	0.0	0.0
BAX	1.38	0.04	0.17	0.05
BCL3	1.715	0.0	0.0	0.0
BORCS8-MEF2B	0.97	0.0	0.0	0.0
BRCA1	0.0	0.0	0.0	0.0
BRF1	1.32	0.0	0.0	0.0
CANX	3.47	0.0	0.0	0.0
CAT	73.35	74.235	35.56	50.22
CBX3	2.755	0.0	0.0	0.0
CD59	1.8566666666666665	0.0	0.0	0.0
CDX1	1.5833333333333333	0.0	0.016666666666666666	0.54
CDX2	1.52	0.0	0.0	0.0
CERS2	2.855	0.0	0.0	0.0
CIC	2.75	0.0	0.0	0.0
CKMT1B	1.5	0.0	0.0	0.0
CPSF4	3.63	0.0	0.0	0.0
CPTP	0.52	0.0	0.0	0.0
CREB3L1	4.26	0.0	0.0	0.0
CTBP1	1.0350000000000001	0.0	0.0	0.0
CTNNB1	4.44	0.0	0.0	0.0
CUX1	0.89	0.0	0.0	0.0
CYCS	1.27	0.0	0.0	0.0
DAB2	4.22	0.0	0.0	0.0
DAZAP1	1.48	0.0	0.11	0.0
DMAP1	2.13	0.0	0.0	0.0
DUSP22	1.25	0.0	0.0	0.0
E2F4	5.0	0.0	0.0	0.0
EEF1D	3.27	0.06	0.06	0.03
EGR1	1.54	0.0	0.0	0.0
ELF3	2.675	0.0	0.0	0.0
ENO1	1.08	0.63	0.0	0.0
EPAS1	1.6	0.0	0.0	0.0
ESRP1	1.51	0.0	0.0	0.0
ESRP2	1.25	0.0	0.0	0.0
ESRRA	1.53	0.0	0.0	0.0
ETFB	1.64	0.0	0.0	0.0
ETS1	5.18	0.0	0.0	0.0
ETS2	0.465	0.0	0.04	0.0
EWSR1	2.5	0.0	0.35	0.0
EZR	1.86	0.07	0.03	0.0
FHL2	3.94	0.0	0.0	0.0
FOS	1.92	0.0	0.0	0.0
FOSL2	2.31	0.0	0.0	0.0
FOXA3	2.865	0.0	0.0	0.0
FOXK2	3.85	0.0	0.0	0.0
FOXP1	2.25	0.0	0.0	0.0
FOXP4	6.93	0.0	0.0	0.0
GADD45A	0.83	0.0	0.0	0.0
GIT2	0.0	0.0	0.0	0.0
GLYCTK	4.35	0.0	0.0	0.0
GOT1	1.28	0.0	0.0	0.0
GPD1	0.0	0.0	0.0	0.37
H1FX	0.755	0.0	0.0	0.0
H2AFY	4.515	0.0	0.0	0.0
HDAC1	1.19	0.0	0.0	0.0
HDAC2	1.78	0.0	0.0	0.0
HDAC3	2.66	0.0	0.0	0.0
HES1	3.08	0.0	0.0	0.0
HES2	0.69	0.0	0.0	0.0
HES6	0.82	0.0	0.0	0.0
HEYL	0.84	0.0	0.35	0.0
HMG20B	1.15	0.0	0.27	0.0
HMGA1	1.4	0.0	0.0	0.0
HMGB1	0.5	0.17	0.0	0.0
HNF1A	1.78	0.0	0.0	0.0
HNF4A	2.09	0.0	0.0	0.0
HNRNPA1	1.405	0.0	0.015	0.10500000000000001
HNRNPC	4.07	0.0	0.46	0.0
HNRNPH3	1.37	0.0	0.0	0.0
HOXB13	1.0966666666666667	0.0	0.0	0.0
HOXB5	1.16	0.0	0.0	0.0
HOXD10	3.5	0.0	0.0	0.0
HOXD13	2.13	0.0	0.0	0.0
HOXD9	1.53	0.0	0.0	0.0
HP1BP3	1.71	0.0	0.0	0.0
HSF1	1.09	0.05	0.0	0.0
HSF4	1.23	0.0	0.0	0.0
ID1	3.19	0.05	0.0	0.0
ID2	1.99	0.0	0.0	0.0
ILF2	1.54	0.19	0.0	0.0
IRF6	1.8	0.0	0.0	0.0
IRF8	0.59	0.09	0.0	0.0
IRF9	2.02	0.0	0.0	0.0
ISX	1.45	0.0	0.0	0.0
IVD	0.87	0.78	0.0	0.0
JUN	2.085	0.0	0.0	0.0
JUND	1.56	0.0	0.0	0.0
KDM4B	1.34	0.0	0.0	0.0
KDM7A	2.56	0.0	0.0	0.0
KIAA0907	4.71	0.0	0.0	0.0
KLF13	1.06	0.0	0.0	0.0
KLF16	1.12	0.0	0.0	0.0
KLF2	1.2	0.0	0.0	0.0
KLF3	2.28	0.0	0.0	0.0
KLF5	2.71	0.0	0.0	0.0
KLF6	1.51	0.0	0.0	0.0
LARP1	1.24	0.0	0.0	0.0
LAS1L	1.85	0.0	0.0	0.0
LTF	0.0	0.0	0.0	0.0
MAX	2.31	0.0	0.0	0.0
MBD2	1.91	0.0	0.0	0.0
MDM2	0.935	0.0	0.0	0.0
METTL3	1.63	0.0	0.0	0.0
MLX	1.21	0.0	0.0	0.0
MLXIP	2.485	0.0	0.0	0.0
MLXIPL	1.54	0.0	0.0	0.0
MRPL1	2.98	0.0	0.0	0.0
MRPS25	0.97	0.0	0.0	0.0
MTHFD1	0.22	0.2	0.0	0.0
