gene	contig_count	contigs	is_tf	annotation_column
17.m07801	1	c85184_g1_i1	0	KO_EUK
18.m06204	1	c133102_g1_i1	0	KO_EUK
443.t00003	1	c8929_g1_i1	0	KO_EUK
4931406C07Rik	1	c72644_g1_i1	0	KO_EUK
4CL2	1	c115609_g1_i1	0	KO_EUK
7.t00010	1	c128327_g1_i1	0	KO_EUK
AAMP	1	c132156_g1_i1	0	KO_EUK
ABCB9	1	c107168_g1_i1	0	KO_EUK
ABCC1	1	c106572_g1_i1	0	KO_EUK
ABCG12	1	c142189_g1_i1	0	KO_EUK
ABF1	1	c115844_g2_i1	0	KO_EUK
ABH1	2	c116867_g1_i4,c116867_g3_i1	0	KO_EUK
ABHD14A-ACY1	1	c135097_g1_i1	0	KO_EUK
ABI5	1	c80867_g1_i1	1	KO_EUK
ACAD10	1	c126822_g1_i1	0	KO_EUK
ACAT2	1	c53124_g1_i1	0	KO_EUK
ACBD4	1	c73720_g1_i1	0	KO_EUK
ACBD5	1	c139038_g1_i1	0	KO_EUK
ACD	1	c110162_g4_i2	1	KO_EUK
ACI39	1	c93001_g1_i1	0	KO_EUK
ACO3	2	c124971_g1_i1,c87720_g1_i1	0	KO_EUK
ACRE44	1	c121447_g1_i1	0	KO_EUK
ACS1	1	c125491_g1_i1	0	KO_EUK
ACS3	1	c122838_g1_i1	0	KO_EUK
ACSF3	1	c37910_g1_i1	0	KO_EUK
ACT1	3	c102879_g1_i2,c138598_g1_i1,c95858_g1_i1	0	KO_EUK
ACT7	1	c93368_g1_i1	0	KO_EUK
ACTG1	2	c110359_g6_i2,c113402_g2_i1	0	KO_EUK
ACTG2	1	c110359_g2_i1	0	KO_EUK
ACX2	1	c111112_g1_i1	0	KO_EUK
ADH5	1	c77300_g1_i1	0	KO_EUK
ADK	1	c33070_g1_i1	0	KO_EUK
ADT2_ANOGA	1	c144021_g1_i1	0	KO_EUK
AES	1	c94965_g3_i1	1	KO_EUK
AGABI1DRAFT_44028	1	c65898_g1_i1	0	KO_EUK
AGABI1DRAFT_49392	2	c75615_g1_i1,c92520_g1_i1	0	KO_EUK
AGABI1DRAFT_51234	1	c139726_g1_i1	0	KO_EUK
AGABI1DRAFT_82568	1	c137937_g1_i1	0	KO_EUK
AGBL5	1	c142387_g1_i1	0	KO_EUK
